#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2024-04-21 20:59:01.027
#Sample rate: 116144Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.45 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.2 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -1.75 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 250 mV
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0198669298459373,2.241657868999995,0.0001176675582377218
0.0198755398459373,2.241321618132339,0.0001176675582377218
0.0198841498459373,2.241657868999995,-0.0002181782764592715
0.01989275984593731,2.241657868999995,-0.000554024111156501
0.01990136984593731,2.241657868999995,-0.0008898699458534942
0.01990997984593731,2.241657868999995,-0.0008898699458534942
0.01991858984593731,2.241321618132339,-0.0005540241111563482
0.01992719984593731,2.241657868999995,-0.001225715780550418
0.01993580984593731,2.241321618132339,-0.001561561615247564
0.0199444198459373,2.241657868999995,-0.001561561615247564
0.0199530298459373,2.241657868999995,-0.001897407449944558
0.0199616398459373,2.241657868999995,-0.001561561615247717
0.01997024984593731,2.241657868999995,-0.002233253284641482
0.01997885984593731,2.241657868999995,-0.001897407449944863
0.01998746984593731,2.241657868999995,-0.002233253284641634
0.01999607984593731,2.24199411986765,-0.00256909911933878
0.02000468984593731,2.637088889362678,-0.0008898699458534942
0.0200132998459373,2.743680414409421,0.006162892582784574
0.0200219098459373,2.744016665277076,0.01724580512778225
0.0200305198459373,2.744016665277076,0.02832871767278518
0.02003912984593731,2.743680414409421,0.03941163021779781
0.02004773984593731,2.744352916144732,0.05015869692810322
0.02005634984593731,2.744016665277076,0.06056991780370713
0.02006495984593731,2.744352916144732,0.07165283034870984
0.02007356984593731,2.744016665277076,0.08206405122431848
0.0200821798459373,2.744352916144732,0.09213942626522997
0.0200907898459373,2.744352916144732,0.1028864929755358
0.0200993998459373,2.744016665277076,0.1126260221817459
0.0201080098459373,2.744016665277076,0.1227013972226572
0.02011661984593731,2.743680414409421,0.1324409264288808
0.02012522984593731,2.744016665277076,0.142180455635091
0.02013383984593731,2.744016665277076,0.1519199848413053
0.02014244984593731,2.744352916144732,0.1613236682128227
0.02015105984593731,2.744016665277076,0.1710631974190373
0.0201596698459373,2.744352916144732,0.1801310349558578
0.0201682798459373,2.743680414409421,0.189534718327371
0.0201768898459373,2.744352916144731,0.1989384016988884
0.02018549984593731,2.743680414409421,0.2076703934010201
0.02019410984593731,2.743680414409421,0.2167382309378406
0.02020271984593731,2.743680414409421,0.2258060684746568
0.02021132984593731,2.744016665277076,0.2342022143420832
0.02021993984593731,2.743680414409421,0.2429342060442066
0.0202285498459373,2.744016665277076,0.2509945060769359
0.0202371598459373,2.743680414409421,0.2600623436137561
0.0202457698459373,2.743680414409421,0.2684584894811787
0.02025437984593731,2.744016665277076,0.2768546353486124
0.02026298984593731,2.744016665277076,0.2849149353813419
0.02027159984593731,2.744016665277076,0.2933110812487645
0.02028020984593731,2.743680414409421,0.3013713812814938
0.02028881984593731,2.744016665277076,0.3090958354795259
0.02029742984593731,2.744016665277076,0.3174919813469521
0.0203060398459373,2.744016665277076,0.3252164355449845
0.0203146498459373,2.744016665277076,0.3326050439083161
0.0203232598459373,2.744016665277076,0.3410011897757421
0.02033186984593731,2.744016665277076,0.3483897981390844
0.02034047984593731,2.744352916144732,0.3561142523371167
0.02034908984593731,2.744016665277076,0.3638387065351454
0.02035769984593731,2.744352916144732,0.3708914690637835
0.02036630984593731,2.744016665277076,0.3786159232618158
0.0203749198459373,2.744352916144732,0.3856686857904539
0.0203835298459373,2.744016665277076,0.3927214483190887
0.0203921398459373,2.744016665277076,0.3997742108477268
0.02040074984593731,2.744016665277076,0.4071628192110684
0.02040935984593731,2.744016665277076,0.4142155817397062
0.02041796984593731,2.744016665277076,0.4205966525989473
0.02042657984593731,2.744016665277076,0.4279852609622823
0.02043518984593731,2.744016665277076,0.4343663318215263
0.0204437998459373,2.743680414409421,0.4414190943501646
0.0204524098459373,2.744016665277076,0.4484718568788026
0.0204610198459373,2.743680414409421,0.4545170819033467
0.0204696298459373,2.744016665277076,0.4608981527625906
0.02047823984593731,2.744016665277076,0.4676150694565375
0.02048684984593731,2.744352916144732,0.4739961403157786
0.02049545984593731,2.744016665277076,0.4807130570097196
0.02050406984593731,2.744352916144732,0.4867582820342666
0.02051267984593731,2.743680414409421,0.4931393528935106
0.0205212898459373,2.744016665277076,0.4991845779180575
0.0205298998459373,2.744016665277076,0.5055656487772986
0.0205385098459373,2.744016665277076,0.5116108738018456
0.02054711984593731,2.744016665277076,0.517320252991701
0.02055572984593731,2.744352916144732,0.5233654780162479
0.02056433984593731,2.744016665277076,0.5290748572060953
0.02057294984593731,2.744352916144732,0.5351200822306421
0.02058155984593731,2.744016665277076,0.541165307255189
0.0205901698459373,2.744352916144732,0.5462029947756448
0.0205987798459373,2.744016665277076,0.5525840656348888
0.0206073898459373,2.744352916144732,0.5576217531553423
0.02061599984593731,2.744016665277076,0.5636669781798939
0.02062460984593731,2.744352916144732,0.5687046657003498
0.02063321984593731,2.744352916144732,0.5740781990555002
0.02064182984593731,2.744016665277076,0.579451732410653
0.02065043984593731,2.744016665277076,0.5848252657658057
